,c1,c2,r1,r2,w,mean effectiveness,mean time until containment,mean difference in met demand,mean difference in arrival time,mean cost per death prevented
67,0.8362230725679567,0.5307241650405946,0.8266025608368649,0.2736952301063274,0.13938715674750313,-0.7540342316372398,21.9,0.21112235475073898,554.34375,3039.017112936324
68,0.6298268766138033,0.38604775333697705,0.7105749115641815,0.36467277396745296,0.852843836871899,-0.8231047956417124,14.5,0.35306419880043266,915.7875,2202.8174880536526
69,0.649558751422916,0.6935920459049354,0.8938693158949782,0.25243556830421543,0.060231274942446345,-0.8072983821438043,15.8,0.2506195665379882,782.06875,2916.204961131285
70,0.5087422919193604,0.7068782223973554,0.7655207795627005,0.1316560920327527,0.8496484265558105,-0.8036005857238365,18.6,0.2748479049807079,718.68125,3066.9749467055162
71,0.5033829591396703,0.7022214313464454,0.42381347912128076,0.2752032772132079,0.8477693041392327,-0.7847617817741621,19.4,0.23208122621844446,673.8125,2753.2391622078567
72,0.6179245869644436,0.5493405178422075,0.8510036199780953,0.2736952301063274,0.12406225199063298,-0.7743816287505146,20.8,0.2037027396470233,614.89375,2784.375564949763
73,0.8450387060416837,0.4702319248882429,0.9653129635263078,0.20580814419795843,0.9326492883879028,-0.7872183147983403,21.8,0.23071430065946572,702.36875,2589.3448265298957
74,0.4333369496059152,0.6317906723371349,0.9733148415843256,0.1133938541734822,0.815710823882881,-0.7847870342838131,20.9,0.18046936858351295,632.09375,3097.3204378177247
75,0.2041869680773198,0.31388570301042124,0.5299541493039632,0.7649904848107961,0.5361853444244894,-0.7379016486185739,22.3,0.3321075767562959,499.9375,3105.211707412004
76,0.6672613612521593,0.3568541556885796,0.8573737737633028,0.45378228470686116,0.8517430941166684,-0.8111097483182105,16.7,0.29960082060227916,820.73125,2396.0235163526027
77,0.7835835198329419,0.5744589952175497,0.7465999307794756,0.26308997262146283,0.026714499508013634,-0.7708392129711015,19.7,0.21108920347303775,585.2125,2895.545146914076
78,0.7900121496115503,0.5366479480724249,0.34061777255318293,0.3190595753236302,0.17041596104381035,-0.7831091593899558,23.9,0.19544469194898176,598.0625,2908.4392023853056
79,0.4268386120271563,0.5994700358785621,0.770806886543663,0.5419887464297661,0.18548543968337303,-0.8365848256671706,17.4,0.4096932167180494,1063.24375,1889.826524784869
80,0.6607634141075676,0.5288709510713883,0.6730382713880654,0.38323784122918897,0.06747767397954889,-0.7846089755277392,15.5,0.34878367405350247,763.81875,2462.415665508121
81,0.7835835198329419,0.5758533861918209,0.7465999307794756,0.1970271037308639,0.026714499508013634,-0.7438711977643591,24.4,0.14919589174879022,519.00625,3263.1311058377783
82,0.08258398079740026,0.5973693912362175,0.8962147816032201,0.284877535214041,0.8253041764086009,-0.7692236874142441,19.6,0.31588590871273486,637.60625,2738.5768808596417
