,Capacity,D,F,I,R,S,T,Uncertainty
17,0,0.256786878,1.04698938,1.54513068,2.545573339,1055959.441,0,1.9
18,10,0.135525968,1.300980925,0.000219806,2.988632117,1055959.302,1.226614525,1.9
19,10,0.071468945,1.465030529,5.94E-05,3.322630073,1055959.229,0.87300526,1.65
20,10,0.037689124,1.569442064,3.52E-05,3.558557919,1055959.19,0.612429468,1.471479912
21,10,0.01987571,1.636605095,2.26E-05,3.723398834,1055959.17,0.426432109,1.361855571
22,10,0.010482023,1.680321089,1.62E-05,3.838044615,1055959.159,0.296516512,1.280604517
23,10,0.005528403,1.709183968,1.31E-05,3.917907786,1055959.154,0.207230005,1.226437079
24,10,0.00291535,1.728206158,2.13E-06,3.972719789,1055959.151,0.139012377,1.198570986
25,10,0.00153738,1.740570834,1.12E-06,4.009419136,1055959.149,0.092900793,1.19652072
26,10,0.000810722,1.748629567,5.93E-07,4.033910806,1055959.148,0.061907516,1.195437783
0,0,0,0,0,0,444270,0,3
1,0,3.60E-05,5.87E-06,0.001027078,8.17E-05,444269.9999,0,3
2,0,0.000263531,8.73E-05,0.004383357,0.000684904,444269.999,0,3
3,0,0.000830621,0.000415729,0.010584664,0.00243345,444269.9963,0,3
4,0,0.001868452,0.001250864,0.020261865,0.006090347,444269.9905,0,3
5,0,0.003509245,0.002935906,0.034148704,0.012583911,444269.98,0,3
6,0,0.005850235,0.005894167,0.051811047,0.022930496,444269.963,0,2
7,0,0.008863106,0.010566849,0.072751055,0.037936245,444269.9378,0,2
8,0,0.012562994,0.017385206,0.097596025,0.058472717,444269.9029,0,2
9,0,0.017011116,0.026806965,0.126900442,0.085553128,444269.8563,0,2
10,0,0.022262961,0.03933212,0.160454176,0.120262042,444269.7962,0,2
11,0,0.02830623,0.055471909,0.198055167,0.163573618,444269.7205,0,2
12,0,0.035163336,0.075737492,0.240205386,0.21652963,444269.6274,0,2
13,0,0.042890286,0.10066643,0.287379585,0.280289005,444269.5147,0,2
14,0,0.051560443,0.1308382,0.340063085,0.356126382,444269.3801,0,2
15,0,0.061258293,0.166882976,0.398769815,0.445437113,444269.2209,0,2
16,10,0.032335371,0.231062465,8.40E-05,0.563122672,444269.1877,0.336878134,1.95
17,10,0.017057539,0.276215083,7.82E-05,0.66290153,444269.1702,0.287754844,1.7
18,10,0.008998942,0.309021427,4.96E-05,0.745559322,444269.161,0.231097814,1.527791773
19,10,0.004749529,0.333473643,4.82E-05,0.813035687,444269.1561,0.192150977,1.4
20,10,0.002508816,0.352831253,4.86E-05,0.87020407,444269.1536,0.166182497,1.325
21,10,0.001325951,0.368469363,3.38E-05,0.918484108,444269.1522,0.136974245,1.275
22,10,0.000702314,0.381285431,3.49E-05,0.959205376,444269.1515,0.11841263,1.25
23,10,0.000371195,0.391313683,9.58E-06,0.99159571,444269.1511,0.08583204,1.25
24,10,0.000196615,0.398632833,9.79E-06,1.015459521,444269.1509,0.064500436,1.25
25,10,0.000104584,0.404204873,1.01E-05,1.033763047,444269.1508,0.050648737,1.25
26,10,5.61E-05,0.408659008,1.04E-05,1.048477725,444269.1507,0.041780092,1.25
0,0,0,0,0,0,318588,0,3
1,0,0.001251077,0.000256428,0.02812095,0.002943346,318587.9958,0,3
2,0,0.005649288,0.002275941,0.079306727,0.015473708,318587.977,0,3
3,0,0.013875263,0.008305076,0.154828118,0.043306264,318587.9333,0,3
4,0,0.02645111,0.020964364,0.256806342,0.092576901,318587.8537,0,3
5,0,0.043873866,0.043196294,0.387873777,0.17000116,318587.726,0,3
6,0,0.062135501,0.077264541,0.459812896,0.272173257,318587.5521,0,3
7,0,0.079447061,0.122542978,0.553194691,0.394377835,318587.339,0,1.9
8,0,0.09811387,0.179256996,0.665420254,0.54155602,318587.0797,0,1.9
9,0,0.119086803,0.248623299,0.794487831,0.717939928,318586.7675,0,1.9
10,0,0.136480645,0.330863654,0.814300734,0.91247189,318586.4166,0,1.9
11,0,0.147932168,0.42207695,0.842653056,1.11292103,318586.0476,0,1.9
12,0,0.156846221,0.519687546,0.876183943,1.320906337,318585.6613,0,1.9
13,0,0.164810094,0.622642949,0.91337988,1.537471986,318585.2577,0,1.9
14,0,0.172574006,0.730604358,0.953647043,1.763421254,318584.8359,0,1.9
15,0,0.180503161,0.843574101,0.996817904,1.999471733,318584.395,0,1.9
16,0,0.188527082,0.961666883,1.037733621,2.24570978,318583.9349,0,1.9
17,0,0.196628565,1.084906536,1.081067831,2.50214833,318583.4554,0,1.9
18,0,0.204989618,1.21340738,1.126781407,2.769365956,318582.9556,0,1.9
19,0,0.213707773,1.347369687,1.174929046,3.047944106,318582.4346,0,1.9
20,0,0.222841759,1.487042156,1.225606204,3.338483027,318581.8913,0,1.9
21,10,0.117594268,1.694433669,9.36E-05,3.679448551,318581.7706,0.910425626,1.9
22,10,0.062012917,1.824762126,5.38E-05,3.929118908,318581.7072,0.657576397,1.65
23,10,0.032702699,1.907608054,3.28E-05,4.107940506,318581.6737,0.467369343,1.491110195
24,10,0.017246285,1.960955494,2.20E-05,4.234505779,318581.6561,0.329716608,1.383206719
25,10,0.009095542,1.995825963,1.66E-05,4.323756167,318581.6468,0.232721764,1.303008441
26,10,0.004797371,2.019045203,1.38E-05,4.386956874,318581.6418,0.165617444,1.24948325
0,0,0,0,0,0,575478,0,3
1,0,0.035506997,0.007952285,0.702773698,0.084852588,575477.8788,0,3
2,0,0.119599551,0.055667777,1.428808375,0.342202762,575477.4842,0,3
3,0,0.232414004,0.167095877,2.195906659,0.780027781,575476.7784,0,3
4,0,0.364726212,0.357282534,3.015078989,1.409694497,575475.7292,0,3
5,0,0.512498605,0.637226621,3.894104492,2.244794585,575474.3061,0,3
6,0,0.674175125,1.016241364,4.837697656,3.30047362,575472.4785,0,2
7,0,0.84927779,1.503029998,5.849832221,4.592791097,575470.2152,0,2
8,0,1.024247908,2.103210441,6.653475223,6.106242956,575467.5302,0,2
9,0,1.1901611,2.812172169,7.456305364,7.814402818,575464.4639,0,1.9
10,10,0.628163611,4.015892838,0.001044054,9.956493412,575463.8188,5.932279766,1.9
11,10,0.33127913,4.806214693,0.000426589,11.6046513,575463.4799,4.391588664,1.65
12,10,0.174705499,5.321278021,0.000149256,12.80208933,575463.3012,3.118477043,1.22335317
13,10,0.092131155,5.653922016,8.87E-05,13.63739358,575463.207,2.148410529,1.082824932
14,10,0.048586468,5.869353375,5.79E-05,14.21154559,575463.1573,1.474005035,0.984766976
15,10,0.025623696,6.010209261,4.21E-05,14.60534325,575463.131,1.011418174,0.921525424
16,10,0.013514596,6.103363382,3.43E-05,14.87605678,575463.1172,0.697383217,0.88780952
17,10,0.007129078,6.165880537,3.07E-05,15.06355142,575463.1099,0.485993584,0.881898865
18,10,0.00376184,6.208670269,2.94E-05,15.19523182,575463.1061,0.344794976,0.877747433
19,10,0.001986269,6.238748024,2.93E-05,15.28976643,575463.104,0.251226423,0.874705249
20,10,0.001050054,6.260648217,2.99E-05,15.3597887,575463.1029,0.189801826,0.872361306
21,10,0.000555038,6.276664716,1.49E-05,15.41163359,575463.1024,0.137194748,0.870452848
22,10,0.000294056,6.288331,1.54E-05,15.44972886,575463.1021,0.102834657,0.868810215
23,10,0.000156492,6.297198171,1.60E-05,15.47888624,575463.1019,0.080629142,0.867807013
24,10,8.40E-05,6.30428343,1.67E-05,15.50230869,575463.1018,0.066518923,0.866944392
25,10,4.59E-05,6.310256226,1.74E-05,15.52212965,575463.1018,0.05780271,0.866164695
26,10,2.42E-05,6.314819997,1.92E-08,15.53730189,575463.1017,0.038149939,0.86542969
0,0,0,0,0,0,200781,0,3
